Name,Periastron,Semimajor Axis,Apastron,Eccentricity,Period,Diameter
Pallas,2.1338,2.7711,3.4084,0.22999,4.613 years,545 km
Vesta,2.1529,2.3613,2.5696,0.0882,3.6285 years,525.4 km
Psyche,2.5328,2.9245,3.3162,0.13393,5.0013 years,226 km
Leukothea,2.3198,2.9927,3.6655,0.22484,5.1772 years,103.055 km
Cybele,3.0415,3.4333,3.825,0.1141,6.3616 years,237.26 km
Hilda,3.4202,3.9768,4.5334,0.13996,7.9307 years,170.63 km
Hypatia,2.6426,2.9054,3.1682,0.0904,4.9524 years,155.659 km
Endymion,2.2348,2.5684,2.9019,0.12988,4.1162 years,64.266 km
Eros,1.1335,1.4583,1.7831,0.2227,1.761 years,16.84 km
Hektor,5.1482,5.2673,5.3863,0.0226,12.0889 years,225 km
Hygiea,2.7912,3.1419,3.4926,0.1116,5.5692 years,407.12 km
Patroclus,4.483,5.2112,5.9394,0.1397,11.8963 years,140.362 km
Varuna,40.2899,42.7618,45.2337,0.0578,279.6358 years,900 km
Ixion,29.9156,39.7226,49.5295,0.2469,250.3594 years,N/A
Sedna,76.3695,510.3561,944.3428,0.8504,11529.705 years,N/A
Gonggong,33.8525,67.4284,101.0044,0.4979,553.6975 years,N/A
2012 VP113,80.4379,269.2307,458.0235,0.7012,4417.6878 years,N/A
2018 VG18,38.3037,81.6234,124.9401,0.5307,737.4456 years,N/A
2018 AG37,27.6254,80.1675,132.7095,0.6554,717.8035 years,N/A
Quaoar,41.7447,43.546,45.3472,0.0414,287.3625 years,N/A
Orcus,30.1319,39.0977,48.0636,0.2293,244.4755 years,N/A
Chaos,41.0303,45.6679,50.3056,0.1016,308.6209 years,N/A
Juno,1.9880,2.6710,3.3500,0.25570,4.3700 years,246.596 km
Astraea,2.0930,2.5770,3.0600,0.18760,4.1400 years,106.699 km
Hebe,1.9350,2.4260,2.9200,0.20230,3.7800 years,185.18 km
Iris,1.8360,2.3860,2.9400,0.23030,3.6900 years,199.83 km
Flora,1.8580,2.2020,2.5500,0.15620,3.2700 years,147.491 km
Metis,2.0940,2.3870,2.6800,0.12250,3.6900 years,190 km
Parthenope,2.2050,2.4520,2.7000,0.10090,3.8400 years,142.887 km
Victoria,1.8220,2.3350,2.8500,0.21970,3.5700 years,115.087 km
Egeria,2.3580,2.5760,2.7900,0.08460,4.1400 years,202.636 km
Irene,2.1670,2.5880,3.0100,0.16280,4.1600 years,152 km
Eunomia,2.1460,2.6420,3.1400,0.18780,4.2900 years,231.689 km
Melpomene,1.7960,2.2960,2.8000,0.21780,3.4800 years,139.594 km
Fortuna,2.0550,2.4420,2.8300,0.15810,3.8200 years,200 km
Massalia,2.0620,2.4080,2.7500,0.14360,3.7400 years,135.68 km
Kalliope,2.6220,2.9090,3.2000,0.09880,4.9600 years,167.536 km
Thalia,2.0210,2.6290,3.2400,0.23130,4.2600 years,107.53 km
Themis,2.7810,3.1440,3.5100,0.11540,5.5700 years,198 km
Bellona,2.3640,2.7780,3.1900,0.14900,4.6300 years,120.9 km
Amphitrite,2.3680,2.5550,2.7400,0.07320,4.0800 years,189.559 km
Euphrosyne,2.4800,3.1620,3.8400,0.21580,5.6200 years,267.08 km
Circe,2.4020,2.6880,2.9700,0.10650,4.4100 years,132.992 km
Atalante,1.9040,2.7450,3.5900,0.30620,4.5500 years,132.842 km
Fides,2.1820,2.6430,3.1000,0.17460,4.3000 years,108.35 km
Laetitia,2.4540,2.7690,3.0800,0.11380,4.6100 years,179.484 km
Harmonia,2.1620,2.2680,2.3700,0.04670,3.4200 years,111.251 km
Daphne,2.0190,2.7670,3.5200,0.27020,4.6000 years,205.495 km
Isis,1.9020,2.4450,2.9900,0.22200,3.8200 years,110.997 km
Eugenia,2.5020,2.7230,2.9400,0.08140,4.4900 years,202.327 km
Hestia,2.0920,2.5260,2.9600,0.17180,4.0100 years,131.471 km
Aglaja,2.4930,2.8790,3.2700,0.13400,4.8900 years,168.174 km
Doris,2.9080,3.1140,3.3200,0.06610,5.4900 years,216.473 km
Pales,2.4120,3.0970,3.7800,0.22130,5.4500 years,166.252 km
Nemausa,2.2100,2.3660,2.5200,0.06600,3.6400 years,138.159 km
Europa,2.7460,3.0940,3.4400,0.11250,5.4400 years,303.918 km
Alexandra,2.1700,2.7100,3.2500,0.19920,4.4600 years,160.12 km
Melete,1.9840,2.5980,3.2100,0.23650,4.1900 years,121.333 km
Mnemosyne,2.8160,3.1560,3.5000,0.10790,5.6100 years,112.59 km
Concordia,2.5760,2.7000,2.8200,0.04590,4.4400 years,106.517 km
Elpis,2.3970,2.7130,3.0300,0.11650,4.4700 years,165.119 km
Erato,2.6040,3.1290,3.6500,0.16780,5.5300 years,106.921 km
Ausonia,2.0870,2.3940,2.7000,0.12810,3.7000 years,116.044 km
Leto,2.2710,2.7850,3.3000,0.18440,4.6500 years,122.509 km
Hesperia,2.4740,2.9770,3.4800,0.16890,5.1400 years,138.13 km
Panopaea,2.1350,2.6140,3.0900,0.18310,4.2300 years,127.911 km
Galatea,2.1210,2.7820,3.4400,0.23750,4.6400 years,118.71 km
Freia,2.8370,3.4080,3.9800,0.16770,6.2900 years,145.423 km
Diana,2.0890,2.6230,3.1600,0.20350,4.2500 years,120.6 km
Terpsichore,2.2480,2.8520,3.4600,0.21160,4.8200 years,117.727 km
Beatrix,2.2290,2.4310,2.6300,0.08320,3.7900 years,110.503 km
Io,2.1410,2.6540,3.1700,0.19300,4.3200 years,154.79 km
Semele,2.4270,3.1030,3.7800,0.21800,5.4700 years,109.929 km
Sylvia,3.1620,3.4910,3.8200,0.09420,6.5200 years,253.051 km
Thisbe,2.3080,2.7660,3.2200,0.16560,4.6000 years,232 km
Julia,2.0820,2.5510,3.0200,0.18370,4.0700 years,145.483 km
Antiope,2.5980,3.1410,3.6800,0.17270,5.5700 years,115.974 km
Aegina,2.3090,2.5890,2.8700,0.10810,4.1700 years,103.402 km
Undina,2.8520,3.1860,3.5200,0.10480,5.6900 years,126.42 km
Minerva,2.3600,2.7530,3.1500,0.14300,4.5700 years,154.155 km
Aurora,2.8520,3.1590,3.4700,0.09730,5.6100 years,204.89 km
Arethusa,2.5970,3.0650,3.5300,0.15240,5.3600 years,147.969 km
Aegle,2.6140,3.0480,3.4800,0.14250,5.3200 years,177.774 km
Klotho,1.9820,2.6690,3.3600,0.25740,4.3600 years,100.717 km
Ianthe,2.1830,2.6880,3.1900,0.18780,4.4100 years,132.788 km
Klymene,2.6320,3.1450,3.6600,0.16300,5.5800 years,136.553 km
Dione,2.6770,3.1820,3.6900,0.15870,5.6800 years,207.869 km
Camilla,3.2620,3.4970,3.7300,0.06730,6.5400 years,210.37 km
Ate,2.3240,2.5930,2.8600,0.10360,4.1700 years,126.344 km
Lomia,2.9240,2.9920,3.0600,0.02280,5.1700 years,208.974 km
Lachesis,2.9670,3.1200,3.2700,0.04900,5.5100 years,155.132 km
Hermione,3.0270,3.4580,3.8900,0.12440,6.4300 years,209 km
Johanna,2.5820,2.7560,2.9300,0.06330,4.5800 years,122 km
Nemesis,2.4010,2.7500,3.1000,0.12690,4.5600 years,162.515 km
Antigone,2.2560,2.8680,3.4800,0.21320,4.8600 years,113 km
Elektra,2.4700,3.1250,3.7800,0.20970,5.5300 years,180.652 km
Sophrosyne,2.2680,2.5630,2.8600,0.11530,4.1000 years,108 km
Meliboea,2.4720,3.1300,3.7900,0.21000,5.5400 years,128.678 km
Juewa,2.3110,2.7860,3.2600,0.17030,4.6500 years,151.116 km
Siwa,2.1340,2.7300,3.3300,0.21820,4.5100 years,109.79 km
Lumen,2.0990,2.6660,3.2300,0.21290,4.3500 years,117.916 km
Vibilia,2.0290,2.6540,3.2800,0.23540,4.3200 years,142.38 km
Adeona,2.2770,2.6710,3.0700,0.14760,4.3700 years,127.783 km
Lucina,2.5470,2.7210,2.8900,0.06390,4.4900 years,160.31 km
Protogeneia,3.0680,3.1370,3.2100,0.02180,5.5600 years,132.93 km
Nuwa,2.6160,2.9880,3.3600,0.12440,5.1600 years,119.128 km
Bertha,2.9470,3.1940,3.4400,0.07720,5.7100 years,192.611 km
Xanthippe,2.1270,2.7330,3.3400,0.22150,4.5200 years,143.346 km
Aemilia,2.8000,3.1090,3.4200,0.09920,5.4800 years,125.236 km
Eva,1.7210,2.6330,3.5400,0.34620,4.2700 years,100.254 km
Loreley,2.8650,3.1260,3.3900,0.08350,5.5300 years,180.083 km
Sibylla,3.1210,3.3710,3.6200,0.07420,6.1900 years,145.366 km
Ophelia,2.7130,3.1290,3.5400,0.13290,5.5300 years,130.808 km
Ino,2.1680,2.7420,3.3200,0.20930,4.5400 years,125.821 km
Iduna,2.6330,3.1820,3.7300,0.17260,5.6800 years,106.976 km
Eucharis,2.4720,3.1230,3.7700,0.20840,5.5200 years,115.383 km
Eunike,2.3910,2.7380,3.0900,0.12680,4.5300 years,160.464 km
Lamberta,2.0810,2.7320,3.3800,0.23830,4.5200 years,147.294 km
Ismene,3.3230,3.9950,4.6700,0.16820,7.9900 years,159 km
Prokne,1.9970,2.6190,3.2400,0.23750,4.2400 years,161.667 km
Philomela,3.0790,3.1180,3.1600,0.01260,5.5100 years,144.626 km
Dynamene,2.3710,2.7380,3.1100,0.13410,4.5300 years,128.301 km
Pompeja,2.5690,2.7370,2.9000,0.06130,4.5300 years,124.592 km
Hersilia,2.6290,2.7420,2.8500,0.04100,4.5400 years,113 km
Dido,2.9900,3.1540,3.3200,0.05200,5.6000 years,179.008 km
Isolda,2.5780,3.0480,3.5200,0.15440,5.3200 years,141.125 km
Medea,2.7960,3.1170,3.4400,0.10280,5.5000 years,136.12 km
Kleopatra,2.0960,2.7950,3.4900,0.25020,4.6700 years,122 km
Philosophia,2.5220,3.1520,3.7800,0.19990,5.6000 years,123.891 km
Adelinda,2.9590,3.4250,3.8900,0.13590,6.3400 years,105.912 km
Athamantis,2.2370,2.3820,2.5300,0.06100,3.6800 years,111.332 km
Germania,2.7220,3.0460,3.3700,0.10620,5.3200 years,168.9 km
