Satellite Name,Planet Name,Diameter (km),Mean Radius (km),Mass (kg),Perigee (km),Apogee (km),SemiMajor Axis (km),Eccentricity,Period (days),Gravity (m/s^2),Escape Velocity (km/s)
Moon (Luna),Earth,3474.8,1737.4,7.342x10^22,362600,405400,384399,0.0549,27.322,1.622,2.38
Phobos,Mars,22.5334,11.2667,1.0659x10^16,9234.42,9517.58,9376,0.0151,0.3189,0.0057,0.01139
Deimos,Mars,12.4,6.2,1.4762x10^15,23455.5,23470.9,23463.2,0.00033,1.263,0.003,0.005556
Io,Jupiter,3643.2,1821.6,8.932x10^22,420000,423400,421700,0.0041,1.769,1.796,2.558
Europa,Jupiter,3121.6,1560.8,4.7998x10^22,664862,676938,670900,0.009,3.551,1.314,2.025
Ganymede,Jupiter,5268.2,2634.1,1.4819x10^23,1069200,1071600,1070400,0.0013,7.155,1.428,2.741
Callisto,Jupiter,4820.6,2410.3,1.076x10^23,1869000,1897000,1882700,0.0074,16.689,1.235,2.44
Mimas,Saturn,396.4,198.2,3.7493x10^19,181902,189176,185539,0.0196,0.942,0.064,0.159
Enceladus,Saturn,504.2,252.1,1.080x10^20,236830,239066,237948,0.0047,1.37,0.113,0.239
Tethys,Saturn,1062.2,531.1,6.175x10^20,294590,294648,294619,0.0001,1.888,0.146,0.394
Dione,Saturn,1122.8,561.4,1.095x10^21,376566,378226,377396,0.0022,2.737,0.232,0.51
Rhea,Saturn,1527.6,763.8,2.307x10^21,526423,527793,527108,0.0013,4.518,0.264,0.635
Titan,Saturn,5149.46,2574.73,1.3452x10^23,1186680,1257060,1221870,0.0288,15.945,1.352,2.639
Iapetus,Saturn,1469,734.5,1.806x10^21,3462185,3659455,3560820,0.0277,79.322,0.223,0.573
Ariel,Uranus,1157.8,578.9,1.251x10^21,190791,191249,191020,0.0012,2.52,0.249,0.537
Umbriel,Uranus,1169,584.7,1.275x10^21,264963,267037,266000,0.0039,4.144,0.25,0.54
Titania,Uranus,1577,788.4,3.4x10^21,435430,436390,435910,0.0011,8.706,0.365,0.759
Oberon,Uranus,1523,761.4,3.076x10^21,582703,584337,583520,0.0014,13.463,0.354,0.734
Miranda,Uranus,472,235.8,6.4x10^19,129222,129558,129390,0.0013,1.413,0.077,0.19
Triton,Neptune,2707,1353.4,2.139x10^22,354753,354765,354759,0.000016,5.877,0.779,1.455
Charon,Pluto,1212,606,1.586x10^21,19587,19595,19591.4,0.0002,6.387,0.288,0.59
Amalthea,Jupiter,167,83.5,2.466x10^18,180856,181944,181400,0.003,0.499918,0.023602,0.062782
Thebe,Jupiter,98.6,49.3,4.518x10^17,217906,225894,221900,0.018,0.676105,0.012405,0.034973
Adrastea,Jupiter,16.4,8.2,2.098x10^15,129000,129000,129000,0,0.29826,0.0020821,0.0058435
Metis,Jupiter,43,21.5,3.746x10^16,128000,128000,128000,0,0.294779,0.0054083,0.01525
Himalia,Jupiter,170,85,2.271x10^18,9.60876e+06,1.32692e+07,1.1439e+07,0.16,249.909,0.020976,0.059715
Hyperion,Saturn,270,135,5.551x10^18,1.32594e+06,1.63706e+06,1.4815e+06,0.105,21.2767,0.020329,0.074086
Phoebe,Saturn,213,106.5,8.313x10^18,1.0809e+07,1.50498e+07,1.29294e+07,0.164,550.304,0.048914,0.10207
Helene,Saturn,36,18,7.192x10^15,374957,380243,377600,0.007,2.73692,0.0014815,0.007303
Janus,Saturn,178.4,89.2,1.897x10^18,150440,152560,151500,0.007,0.697353,0.015914,0.053282
Epimetheus,Saturn,116.4,58.2,5.265x10^17,148372,154428,151400,0.02,0.697012,0.010374,0.03475
Atlas,Saturn,30.2,15.1,5.544x10^15,137562,137838,137700,0.001,0.604602,0.0016227,0.0070005
Prometheus,Saturn,86.2,43.1,1.605x10^17,139121,139679,139400,0.002,0.615878,0.0057655,0.022293
Pandora,Saturn,81.2,40.6,1.387x10^17,141133,142267,141700,0.004,0.631369,0.0056177,0.021358
Pan,Saturn,28,14,4.195x10^15,133600,133600,133600,0,0.575051,0.0014286,0.0063246
Naiad,Neptune,58,29,1.278x10^17,48200,48200,48200,0,0.29398,0.010143,0.024254
Thalassa,Neptune,80,40,3.535x10^17,50100,50100,50100,0,0.311078,0.014744,0.034344
Despina,Neptune,148,74,1.749x10^18,52500,52500,52500,0,0.334656,0.021317,0.056168
Galatea,Neptune,158,79,2.845x10^18,62000,62000,62000,0,0.428744,0.030428,0.069337
Larissa,Neptune,192,96,3.818x10^18,73426.5,73573.5,73500,0.001,0.554989,0.027652,0.072864
Proteus,Neptune,416,208,3.871x10^19,117600,117600,117600,0,1.12231,0.059713,0.15761
Nix,Pluto,36,18,2.248x10^16,48560.5,50039.5,49300,0.015,24.85,0.0046296,0.01291
Hydra,Pluto,37,18.5,2.997x10^16,64613.2,65786.8,65200,0.009,38.2,0.0058437,0.014704
