Spectral Class,B-V,Teeff(K),AbsMag Vis.,AbsMag Bol.,Bolo. Corr. (BC),Lum,R,M,p (g/cm3),Lifetime (years)
O5,-0.35,40000,-5.8,-10,-4.2,"810,000",18.7,35.9,0.008,440.000 (4.4x10^5)
B0,-0.3,30000,-4.3,-7.2,-2.9,"61,000",9.2,18.2,0.033,3.000.000 (3x10^6)
B5,-0.16,16000,-1.1,-2.5,-1.5,810,3.7,5.8,0.16,72.000.000 (7.2x10^7)
A0,0,10000,0.8,0.3,-0.5,64,2.7,3,0.22,470.000.000 (4.7x10^8)
A2,0.06,9700,1.2,0.9,-0.3,35,2.1,2.6,0.39,720.000.000 (7.2x10^8)
A5,0.14,8600,1.9,1.6,-0.3,19,1.94,2.16,0.42,1.200.000.000 (1.2x10^9)
A7,0.2,8100,2.1,1.9,-0.2,14,1.9,2.01,0.41,1.400.000.000 (1.4x10^9)
F0,0.31,7300,2.6,2.5,-0.1,8.5,1.82,1.75,0.41,2.100.000.000 (2.1x10^9)
F2,0.38,6900,2.9,2.9,0,5.6,1.65,1.57,0.49,2.800.000.000 (2.8x10^9)
F5,0.44,6600,3.3,3.3,0,3.9,1.5,1.43,0.59,3.700.000.000 (3.7x10^9)
F7,0.5,6300,3.8,3.8,0,2.4,1.31,1.27,0.79,5.200.000.000 (5.2x10^9)
G0,0.59,6000,4.4,4.4,0,1.4,1.1,1.09,1.17,7.800.000.000 (7.8x10^9)
G2,0.64,5770,4.7,4.7,0,1.07,1.03,1.02,1.3,9.500.000.000 (9.5x10^9)
G5,0.69,5600,5.1,5,-0.1,0.81,0.95,0.95,1.53,12.000.000.000 (1.2x10^10)
G8,0.72,5400,5.5,5.3,-0.2,0.61,0.89,0.88,1.73,14.000.000.000 (1.4x10^10)
K0,0.84,5200,5.9,5.8,-0.2,0.41,0.78,0.79,2.31,19.000.000.000 (1.9x10^10)
K2,0.92,4800,6.3,6.1,-0.2,0.29,0.78,0.72,2.13,25.000.000.000 (2.5x10^10)
K5,1.17,4400,7.4,6.6,-0.8,0.19,0.74,0.64,2.23,35.000.000.000 (3.5x10^10)
K7,1.34,4200,8.1,7.2,-0.9,0.11,0.62,0.55,3.34,52.000.000.000 (5.2x10^10)
M0,1.43,3900,8.8,7.8,-1,0.061,0.54,0.48,4.24,78.000.000.000 (7.8x10^10)
M2,1.52,3500,10.1,8.3,-1.8,0.039,0.53,0.42,3.92,110.000.000.000 (1.1x10^11)
M4,1.56,3200,11.1,8.8,-2.3,0.024,0.51,0.38,4.04,150.000.000.000 (1.5x10^11)
M6,1.62,2900,12.1,9.5,-2.6,0.013,0.45,0.32,4.97,250.000.000.000 (2.5x10^11)
M8,1.9,2500,16,11.8,-4.2,0.0015,0.21,0.18,28.03,1.200.000.000.000 (1.2x10^12)
